cnssi-1253_low,800-53r5
AL,AC-1
AL,AC-2(5)
AL,AC-7
AL,AT-1
AL,AT-2
AL,AT-2(2)
AL,AT-2(3)
AL,AT-2(4)
AL,AT-2(5)
AL,AT-3
AL,AT-3(1)
AL,AT-3(2)
AL,AT-4
AL,AU-1
AL,AU-4
AL,AU-4(1)
AL,AU-5
AL,AU-5(1)
AL,AU-9
AL,AU-11
AL,AU-11(1)
AL,CA-1
AL,CA-2
AL,CA-2(1)
AL,CA-5
AL,CA-6
AL,CA-7
AL,CA-7(3)
AL,CA-7(4)
AL,CA-7(5)
AL,CP-1
AL,CP-2
AL,CP-3
AL,CP-4
AL,CP-9
AL,CP-9(8)
AL,CP-10
AL,IR-1
AL,IR-2
AL,IR-3
AL,IR-4
AL,IR-4(4)
AL,IR-4(6)
AL,IR-4(7)
AL,IR-4(8)
AL,IR-4(14)
AL,IR-5
AL,IR-6
AL,IR-6(2)
AL,IR-6(3)
AL,IR-7
AL,IR-7(2)
AL,IR-8
AL,MA-1
AL,MA-2
AL,MA-5
AL,PE-1
AL,PE-2
AL,PE-3
AL,PE-6
AL,PE-8
AL,PE-12
AL,PE-13
AL,PE-14
AL,PE-15
AL,PE-16
AL,PE-23
AL,PL-1
AL,PL-2
AL,PL-4
AL,PL-7
AL,PL-8
AL,PL-8(1)
AL,PL-8(2)
AL,PL-10
AL,PL-11
AL,PS-1
AL,PS-2
AL,PS-4
AL,PS-5
AL,PS-8
AL,PS-9
AL,RA-1
AL,RA-2
AL,RA-3
AL,RA-3(1)
AL,RA-3(2)
AL,RA-3(3)
AL,RA-5
AL,RA-5(2)
AL,RA-5(4)
AL,RA-5(5)
AL,RA-5(11)
AL,RA-7
AL,RA-10
AL,SA-1
AL,SA-2
AL,SA-3
AL,SA-3(1)
AL,SA-3(3)
AL,SA-4
AL,SA-4(9)
AL,SA-5
AL,SA-8
AL,SA-9
AL,SA-9(2)
AL,SA-9(8)
AL,SA-15
AL,SA-21
AL,SA-22
AL,SC-1
AL,SC-5
AL,SC-5(1)
AL,SC-7(12)
AL,SC-22
AL,SC-38
AL,SC-41
AL,SC-47
AL,SI-1
AL,SI-4
AL,SI-4(1)
AL,SI-4(4)
AL,SI-4(5)
AL,SI-4(11)
AL,SI-4(12)
AL,SI-4(14)
AL,SI-4(15)
AL,SI-4(16)
AL,SI-4(19)
AL,SI-4(20)
AL,SI-4(22)
AL,SI-4(23)
AL,SI-4(24)
AL,SR-1
AL,SR-2
AL,SR-2(1)
AL,SR-3
AL,SR-3(3)
AL,SR-4
AL,SR-5
AL,SR-6
AL,SR-8
AL,SR-10
AL,SR-11
AL,SR-11(1)
AL,SR-11(2)
AL,SR-12